iter	Passed	Remaining
0	1	145
1	2	135
2	3	128
3	4	118
4	6	118
5	7	116
6	8	116
7	10	117
8	11	116
9	12	115
10	14	113
11	15	112
12	16	110
13	17	109
14	19	107
15	20	106
16	21	104
17	22	103
18	24	102
19	25	101
20	26	100
21	28	99
22	29	98
23	30	96
24	31	95
25	32	93
26	34	92
27	35	90
28	36	89
29	37	88
30	38	86
31	40	85
32	41	83
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	48	76
39	49	74
40	51	73
41	51	71
42	53	70
43	54	69
44	55	67
45	56	66
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	72	48
60	74	47
61	75	46
62	76	45
63	77	43
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	87	34
72	88	32
73	89	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
